Feed_Temperature_K,Feed_Pressure_atm,Feed_MassFlow_kg_s,Heater_Duty_kW,Vapor_Flow_kg_s,Liquid_Flow_kg_s
290,1.0,1.0,81.7218168567528,0.0,1.0
290,1.0,2.0,81.7218168567528,0.0,2.0
290,1.0,3.0,81.7218168567528,0.0,3.0
290,1.0,4.0,81.7218168567528,0.0,4.0
290,1.0,5.0,81.7218168567528,0.0,5.0
290,1.5,1.0,81.7218168567528,0.0,1.0
290,1.5,2.0,81.7218168567528,0.0,2.0
290,1.5,3.0,81.7218168567528,0.0,3.0
290,1.5,4.0,81.7218168567528,0.0,4.0
290,1.5,5.0,81.7218168567528,0.0,5.0
290,2.0,1.0,81.7218168567528,0.0,1.0
290,2.0,2.0,81.7218168567528,0.0,2.0
290,2.0,3.0,81.7218168567528,0.0,3.0
290,2.0,4.0,81.7218168567528,0.0,4.0
290,2.0,5.0,81.7218168567528,0.0,5.0
290,2.5,1.0,81.7218168567528,0.0,1.0
290,2.5,2.0,81.7218168567528,0.0,2.0
290,2.5,3.0,81.7218168567528,0.0,3.0
290,2.5,4.0,81.7218168567528,0.0,4.0
290,2.5,5.0,81.7218168567528,0.0,5.0
290,3.0,1.0,81.7218168567528,0.0,1.0
290,3.0,2.0,81.7218168567528,0.0,2.0
290,3.0,3.0,81.7218168567528,0.0,3.0
290,3.0,4.0,81.7218168567528,0.0,4.0
290,3.0,5.0,81.7218168567528,0.0,5.0
292,1.0,1.0,81.7218168567528,0.0,1.0
292,1.0,2.0,81.7218168567528,0.0,2.0
292,1.0,3.0,81.7218168567528,0.0,3.0
292,1.0,4.0,81.7218168567528,0.0,4.0
292,1.0,5.0,81.7218168567528,0.0,5.0
292,1.5,1.0,81.7218168567528,0.0,1.0
292,1.5,2.0,81.7218168567528,0.0,2.0
292,1.5,3.0,81.7218168567528,0.0,3.0
292,1.5,4.0,81.7218168567528,0.0,4.0
292,1.5,5.0,81.7218168567528,0.0,5.0
292,2.0,1.0,81.7218168567528,0.0,1.0
292,2.0,2.0,81.7218168567528,0.0,2.0
292,2.0,3.0,81.7218168567528,0.0,3.0
292,2.0,4.0,81.7218168567528,0.0,4.0
292,2.0,5.0,81.7218168567528,0.0,5.0
292,2.5,1.0,81.7218168567528,0.0,1.0
292,2.5,2.0,81.7218168567528,0.0,2.0
292,2.5,3.0,81.7218168567528,0.0,3.0
292,2.5,4.0,81.7218168567528,0.0,4.0
292,2.5,5.0,81.7218168567528,0.0,5.0
292,3.0,1.0,81.7218168567528,0.0,1.0
292,3.0,2.0,81.7218168567528,0.0,2.0
292,3.0,3.0,81.7218168567528,0.0,3.0
292,3.0,4.0,81.7218168567528,0.0,4.0
292,3.0,5.0,81.7218168567528,0.0,5.0
294,1.0,1.0,81.7218168567528,0.0,1.0
294,1.0,2.0,81.7218168567528,0.0,2.0
294,1.0,3.0,81.7218168567528,0.0,3.0
294,1.0,4.0,81.7218168567528,0.0,4.0
294,1.0,5.0,81.7218168567528,0.0,5.0
294,1.5,1.0,81.7218168567528,0.0,1.0
294,1.5,2.0,81.7218168567528,0.0,2.0
294,1.5,3.0,81.7218168567528,0.0,3.0
294,1.5,4.0,81.7218168567528,0.0,4.0
294,1.5,5.0,81.7218168567528,0.0,5.0
294,2.0,1.0,81.7218168567528,0.0,1.0
294,2.0,2.0,81.7218168567528,0.0,2.0
294,2.0,3.0,81.7218168567528,0.0,3.0
294,2.0,4.0,81.7218168567528,0.0,4.0
294,2.0,5.0,81.7218168567528,0.0,5.0
294,2.5,1.0,81.7218168567528,0.0,1.0
294,2.5,2.0,81.7218168567528,0.0,2.0
294,2.5,3.0,81.7218168567528,0.0,3.0
